Acc@1,Acc@5
22.594,46.552
34.740,61.614
38.644,65.748
41.248,68.586
42.808,70.026
45.236,71.756
44.204,71.056
44.704,71.030
45.360,72.246
45.200,71.286
46.170,72.528
47.678,74.236
44.836,71.344
45.342,71.842
47.014,73.702
48.080,74.276
48.858,75.182
47.426,74.220
48.414,74.384
48.078,74.052
49.364,75.220
47.136,73.442
48.968,74.940
48.068,74.472
49.206,75.068
50.350,76.096
46.648,72.628
48.876,74.670
48.778,74.622
48.948,75.268
62.608,84.818
63.732,85.578
64.372,86.046
64.388,85.976
64.454,86.154
64.734,86.332
64.664,86.164
64.852,86.414
64.744,86.202
64.690,86.382
64.402,86.176
64.306,86.022
64.074,85.810
64.622,86.176
64.484,85.998
64.628,86.106
63.766,85.752
64.098,85.936
64.558,86.182
63.944,85.906
63.812,85.846
64.398,85.988
63.996,85.772
64.088,86.008
63.874,85.702
64.338,86.038
63.936,85.832
63.962,85.610
64.314,86.122
64.492,86.180
68.510,88.510
68.676,88.806
68.942,88.854
69.054,88.872
69.238,89.002
69.270,88.938
69.152,89.052
69.274,89.018
69.398,89.102
69.388,89.030
69.378,88.986
69.550,88.956
69.614,89.072
69.702,89.154
69.548,89.098
69.494,89.172
69.612,89.124
69.588,89.232
69.566,89.168
69.560,89.220
69.492,89.238
69.672,89.220
69.442,89.186
69.698,89.230
69.736,89.296
69.830,89.186
69.716,89.274
69.782,89.296
69.560,89.238
69.752,89.302